run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,configname,PrimaryBackup,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,datetime,20181113-00:29:23,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,experiment,PrimaryBackup,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,inifile,omnetpp.ini,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,iterationvars,$0=200,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,iterationvarsf,200-,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,measurement,$0=200,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,network,abstract.Model,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,processid,9144,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,repetition,0,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,replication,#0,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,resultdir,results,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,runnumber,3,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,runattr,,,seedset,3,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,param,,,**.underlayConfigurator.nodeType,"""_primary_backup.PrimaryBackupNode""",,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,param,,,**.underlayConfigurator.clientType,"""_primary_backup.PrimaryBackupClient""",,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,param,,,**.client[*].ctrl.eventTimeout,200ms,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,param,,,Model.client_num,10,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,param,,,Model.logical_computer,"""client[0]""",,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,param,,,**.globalParameters.max_distance,20000000m,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,param,,,**.globalParameters.fix_latency,100ms,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,param,,,**.globalParameters.latency_gen_mode,1,,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,param,,,**.underlayConfigurator.lcType,"""abstract.LogicComputer""",,,,,,,
PrimaryBackup-3-20181113-00:29:23-9144,param,,,**.underlayConfigurator.lcName,"""logicComputer""",,,,,,,
